Date/Time,Wind Speed (m/s),LV ActivePower (kW),Theoretical_Power_Curve (KWh)
01 01 2018 00:00,5.31133604,380.0477905,416.3289078
01 01 2018 00:10,5.672166824,453.7691956,519.9175111
01 01 2018 00:20,5.216036797,306.3765869,390.9000158
01 01 2018 00:30,5.659674168,419.6459045,516.127569
01 01 2018 00:40,5.577940941,380.6506958,491.702972
01 01 2018 00:50,5.604052067,402.3919983,499.436385
01 01 2018 01:00,5.793007851,447.6057129,557.3723633
01 01 2018 01:10,5.306049824,387.2421875,414.8981788
01 01 2018 01:20,5.584629059,463.6512146,493.6776521
01 01 2018 01:30,5.523228168,439.725708,475.7067828
01 01 2018 01:40,5.724115849,498.1817017,535.841397
01 01 2018 01:50,5.934198856,526.8162231,603.0140765
01 01 2018 02:00,6.547413826,710.5872803,824.6625136
01 01 2018 02:10,6.199746132,655.1942749,693.4726411
01 01 2018 02:20,6.505383015,754.7625122,808.0981385
01 01 2018 02:30,6.634116173,790.1732788,859.4590208
01 01 2018 02:40,6.378912926,742.9852905,759.4345366
01 01 2018 02:50,6.446652889,748.2296143,785.2810099
01 01 2018 03:00,6.415082932,736.6478271,773.1728635
01 01 2018 03:10,6.437530994,787.2462158,781.7712157
01 01 2018 03:20,6.220024109,722.8640747,700.7646999
01 01 2018 03:30,6.89802599,935.0333862,970.7366269
01 01 2018 03:40,7.60971117,1220.609009,1315.048928
01 01 2018 03:50,7.288355827,1053.771973,1151.265744
01 01 2018 04:00,7.943101883,1493.807983,1497.583724
01 01 2018 04:10,8.376161575,1724.488037,1752.199662
01 01 2018 04:20,8.23695755,1636.935059,1668.470707
01 01 2018 04:30,7.879590988,1385.488037,1461.815791
01 01 2018 04:40,7.101376057,1098.932007,1062.285034
01 01 2018 04:50,6.955307007,1021.458008,995.9958546
01 01 2018 05:00,7.098298073,1164.892944,1060.859712
01 01 2018 05:10,6.953630924,1073.332031,995.2509608
01 01 2018 05:20,7.249577999,1165.307983,1132.416861
01 01 2018 05:30,7.294691086,1177.98999,1154.365305
01 01 2018 05:40,7.376369953,1170.536011,1194.843099
01 01 2018 05:50,7.448554039,1145.536011,1231.430706
01 01 2018 06:00,7.23925209,1114.026978,1127.433206
01 01 2018 06:10,7.329211235,1153.185059,1171.355044
01 01 2018 06:20,7.139705181,1125.331055,1080.139085
01 01 2018 06:30,7.474228859,1228.732056,1244.633534
01 01 2018 06:40,7.033174038,1021.79303,1030.992686
01 01 2018 06:50,6.886455059,957.3781738,965.6833344
01 01 2018 07:00,6.887821198,909.8878174,966.2791049
01 01 2018 07:10,7.216432095,1000.953979,1116.471899
01 01 2018 07:20,7.068597794,1024.478027,1047.170231
01 01 2018 07:30,6.938295841,1009.533997,988.4519407
01 01 2018 07:40,6.536687851,899.492981,820.4166586
01 01 2018 07:50,6.180624962,725.1101074,686.6369422
01 01 2018 08:00,5.816825867,585.2593994,564.9276595
01 01 2018 08:10,5.450150967,443.9139099,454.7735871
01 01 2018 08:20,5.81814909,565.2537842,565.3490932
01 01 2018 08:30,6.130272865,644.0377808,668.8235693
01 01 2018 08:40,6.347077847,712.0588989,747.4606734
01 01 2018 08:50,6.347436905,737.3947754,747.5951091
01 01 2018 09:00,6.194368839,725.868103,691.5463343
01 01 2018 09:10,4.977198124,408.997406,330.4176304
01 01 2018 09:20,5.959111214,628.4368286,611.2838365
01 01 2018 09:30,6.21137619,716.1005859,697.6494744
01 01 2018 09:40,6.111453056,711.4956055,662.235163
01 01 2018 09:50,6.456322193,838.1519165,789.0114224
01 01 2018 10:00,6.666657925,881.0620728,872.7396259
01 01 2018 10:10,6.16287899,663.703125,680.3278917
01 01 2018 10:20,6.013167858,578.2615967,628.4425608
01 01 2018 10:30,5.561203003,465.6200867,486.7795676
01 01 2018 10:40,4.960731983,311.0509033,326.4110254
01 01 2018 10:50,4.60387516,230.0554962,244.3162442
01 01 2018 11:00,4.554533958,233.9906006,233.6327805
01 01 2018 11:10,4.26362896,175.5921936,173.5736631
01 01 2018 11:20,3.894139051,118.1331024,108.5712211
01 01 2018 11:30,4.038761139,142.2024994,130.2299896
01 01 2018 11:40,4.505650997,212.5661926,223.1967841
01 01 2018 11:50,4.543397903,222.6100006,231.2425073
01 01 2018 12:00,4.323760986,194.1811981,185.5984796
01 01 2018 12:10,3.634437084,82.64074707,68.5028198
01 01 2018 12:20,3.705512047,75.8952179,78.39616535
01 01 2018 12:30,3.253968,41.94723892,29.28695563
01 01 2018 12:40,3.775136948,118.5345993,88.87136533
01 01 2018 12:50,4.693500996,250.7559052,264.1192574
01 01 2018 13:00,5.002939224,346.8644104,336.7219982
01 01 2018 13:10,5.364749908,416.4179077,430.921089
01 01 2018 13:20,5.016181946,331.9414978,339.9849402
01 01 2018 13:30,5.970407963,583.4799194,615.0556308
01 01 2018 13:40,6.655520916,776.5526733,868.1808449
01 01 2018 13:50,6.600903988,752.7263794,846.0294095
01 01 2018 14:00,5.981378078,589.0731201,618.7314427
01 01 2018 14:10,7.424593925,1109.128052,1219.199787
01 01 2018 14:20,8.186451912,1482.459961,1638.508909
01 01 2018 14:30,8.27493,1523.430054,1691.147039
01 01 2018 14:40,8.449202538,1572.170044,1796.76309
01 01 2018 14:50,8.575974464,1698.939941,1875.047197
01 01 2018 15:00,8.282259941,1616.845947,1695.538777
01 01 2018 15:10,8.734552383,1796.823975,1974.4758
01 01 2018 15:20,8.764103889,1885.860962,1993.170712
01 01 2018 15:30,9.669431686,2327.511963,2568.827129
01 01 2018 15:40,10.14109039,2499.162109,2876.753616
01 01 2018 15:50,10.77241993,2820.512939,3186.029883
01 01 2018 16:00,10.64752007,2812.279053,3133.259224
01 01 2018 16:10,9.982661247,2530.447021,2781.274041
01 01 2018 16:20,9.874385834,2399.121094,2711.492458
01 01 2018 16:30,9.785479546,2335.587891,2651.341009
01 01 2018 16:40,9.614232063,2341.133057,2527.945451
01 01 2018 16:50,9.618504524,2391.8479,2531.14794
01 01 2018 17:00,9.098683357,2118.389893,2207.79282
01 01 2018 17:10,8.677425385,1866.845947,1938.478601
01 01 2018 17:20,8.774898529,1865.619019,2000.011716
01 01 2018 17:30,8.689981461,1862.447998,1946.373955
01 01 2018 17:40,8.631073952,1884.119019,1909.416256
01 01 2018 17:50,8.614569664,1855.776978,1899.100734
01 01 2018 18:00,9.21884346,1958.133057,2285.917032
01 01 2018 18:10,10.04951954,2228.24292,2822.50949
01 01 2018 18:20,10.31871033,2529.291016,2974.866796
01 01 2018 18:30,10.76675987,2788.25708,3183.72246
01 01 2018 18:40,10.55825043,2692.929932,3093.110672
01 01 2018 18:50,10.25072002,2535.353027,2938.394607
01 01 2018 19:00,10.46477032,2584.665039,3048.823833
01 01 2018 19:10,11.39078045,2960.183105,3393.645541
01 01 2018 19:20,11.56554031,3062.978027,3437.597135
01 01 2018 19:30,11.2802496,3024.39209,3362.668742
01 01 2018 19:40,11.33677959,3187.9729,3378.826271
01 01 2018 19:50,11.80463982,3387.228027,3488.248491
01 01 2018 20:00,11.3635397,3209.018066,3386.244486
01 01 2018 20:10,11.63259029,3272.665039,3452.881108
01 01 2018 20:20,11.44476032,3209.698975,3407.867876
01 01 2018 20:30,11.27190018,3134.518066,3360.225775
01 01 2018 20:40,11.05900955,2977.824951,3292.880925
01 01 2018 20:50,12.10377979,3431.772949,3537.173706
01 01 2018 21:00,12.92813969,3604.209961,3597.469467
01 01 2018 21:10,13.31941986,3601.327881,3600
01 01 2018 21:20,13.12152004,3604.426025,3600
01 01 2018 21:30,13.23544979,3604.391113,3600
01 01 2018 21:40,13.23589993,3604.337891,3600
01 01 2018 21:50,13.02956009,3554.687988,3600
01 01 2018 22:00,12.96393967,3479.407959,3597.794635
01 01 2018 22:10,12.90295029,3472.333008,3597.13106
01 01 2018 22:20,12.76634026,3491.510986,3593.704942
01 01 2018 22:30,12.89834976,3536.989014,3597.059449
01 01 2018 22:40,12.74211025,3528.658936,3592.814313
01 01 2018 22:50,12.31826019,3581.540039,3562.990095
01 01 2018 23:00,12.41880989,3570.079102,3572.556143
01 01 2018 23:10,12.54298973,3597.604004,3582.204643
01 01 2018 23:20,12.67599964,3441.025879,3589.945634
01 01 2018 23:30,13.00304985,3373.969971,3600
01 01 2018 23:40,13.29767036,3369.812988,3600
01 01 2018 23:50,12.84405994,3375.903076,3595.984792
